,Date,Country,Dead,Source,More_Info
5611,09-Jun-1897,YEMEN ,Y,"Star, 7/10/1897; Kalgoorlie Western Argus, 7/15/1897",http://sharkattackfile.net/spreadsheets/pdf_directory/1897.06.09-Sultan-of-Bombay.pdf
5613,Reported 15-Mar-1897,USA,Y,"Daily Northwestern, 5/15/1897",http://sharkattackfile.net/spreadsheets/pdf_directory/1897.03.15.a.R-Lynn.pdf
5614,1897,NEW ZEALAND,N,"Deseret News, 6/28/1946",http://sharkattackfile.net/spreadsheets/pdf_directory/1987.00.00.b-Maori.pdf
5615,1897,EGYPT,UNKNOWN,"Mentioned in paper by W.B. Orme; G.A. Llano, p.127",http://sharkattackfile.net/spreadsheets/pdf_directory/1897.00.00.a-Egypt.pdf
5616,23-Decp1896,AUSTRALIA,N,"South Australian Register, 12/25/1896",http://sharkattackfile.net/spreadsheets/pdf_directory/1896.12.23-skiff-HobsonsBay.pdf
5617,20-Dec-1896,NEW ZEALAND,Y,"A.W. Parrott, p. 68;  V.M. Coppleson (1958), p.258",http://sharkattackfile.net/spreadsheets/pdf_directory/1896.12.20-Cooper.pdf
5618,Reported 17-Dec-1896,NEW ZEALAND,Y,"The Star, 12/17/1896",http://sharkattackfile.net/spreadsheets/pdf_directory/1896.12.17.R-Reynolds.pdf
5619,29-Nov-1896,AUSTRALIA,Y,"West Australian, 12/3/1896",http://sharkattackfile.net/spreadsheets/pdf_directory/1896.11.29-Davies.pdf
5620,01-Nov-1896,AUSTRALIA,Y,"West Australian, 11/2/1896",http://sharkattackfile.net/spreadsheets/pdf_directory/1896.11.01-Louis.pdf
5621,Reported 11-Sep-1896,SRI LANKA,N,"New Oxford Item, 9/11/1896",http://sharkattackfile.net/spreadsheets/pdf_directory/1896.09.11.R-SriLanka.pdf
5622,25-Jul-1896,USA,Y,"Hawaiian Gazette, 8/4/1896",http://sharkattackfile.net/spreadsheets/pdf_directory/1896.07.25-Nahalehau.pdf
5623,Reported 21-Jun-1896,USA,N,"New York Times, 6/21/1896",http://sharkattackfile.net/spreadsheets/pdf_directory/1896.06.21.R-Walsh.pdf
5624, 11-Jan-1896,AUSTRALIA,Y,"Brisbane Courier, 1/13/1896",http://sharkattackfile.net/spreadsheets/pdf_directory/1896.01.11-Ready.pdf
5625,1896,USA,Y,W.H. Gregg,http://sharkattackfile.net/spreadsheets/pdf_directory/1896.00.00.b-filibuster.pdf
5626,1896,HAITI,N,"C. R. Baker & C.M. Rose;  V.M. Coppleson (1958), p.259 ",http://sharkattackfile.net/spreadsheets/pdf_directory/1896.00.00.a-Syrian.pdf
5627,09-Dec-1895,AUSTRALIA,Y,"Brisbane Courier, 12/9/1895",http://sharkattackfile.net/spreadsheets/pdf_directory/1895.12.09-Terrill.pdf
5628,Reported 21-Nov-1895,BARBADOS,N,"NY Times, 11/21/1895",http://sharkattackfile.net/spreadsheets/pdf_directory/1895.11.21.R-Youma.pdf
5629,16-Nov-1895,AUSTRALIA,Y,"West Australian, 11/19/1895",http://sharkattackfile.net/spreadsheets/pdf_directory/1895.11.16-Bailey.pdf
